YEAR_MONTH_PROJECT_KEY,HIGH_LEVEL_STATUS_KPI_ID,PPN_STAMP,PPN_PROC
202601_2026-00086,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00085,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00084,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00083,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00082,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00081,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00080,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00079,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00135,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00134,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00133,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00132,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00131,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00130,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00129,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00128,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00127,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00126,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00125,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00124,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00123,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00122,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00121,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00120,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00119,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00118,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00117,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00116,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00115,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00114,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00113,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00112,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00111,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00110,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00109,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00108,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00085,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00079,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00067,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00063,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00053,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00052,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00051,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00045,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00043,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00040,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00039,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00035,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00029,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00028,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00025,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00013,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-0006,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-0004,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-0001,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00170,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00164,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00160,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00159,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00157,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00156,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00155,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00153,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00152,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00151,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00150,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00149,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00148,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00146,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00144,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00143,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00142,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00141,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00140,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00139,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00138,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00128,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00045,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00044,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00043,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00042,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00041,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00040,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00039,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00038,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00037,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00036,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00035,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00034,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00033,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00032,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00031,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00030,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00025,16,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00024,16,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00023,16,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00022,16,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00021,16,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00020,16,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00018,16,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00017,16,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00016,16,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00015,16,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00014,16,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00012,16,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00011,16,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00010,16,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00009,16,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00008,16,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00007,16,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00006,16,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00004,16,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00002,16,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00190,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00189,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00188,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00187,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00186,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00184,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00182,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00181,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00180,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00179,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00178,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00177,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00175,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00127,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00126,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00124,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00122,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00121,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00120,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00119,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00118,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00117,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00116,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00115,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00114,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00113,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00112,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00111,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00110,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00109,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00108,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00106,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00105,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00098,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00095,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00091,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00090,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00088,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
